,user_agent,tls_ja3,tls_peetprint_hash,http2_akamai_fingerprint,tcpip_ip_ttl,tcpip_tcp_mss,tcpip_tcp_window,os_prediction_highest,0300,TLS 1.0,TLS 1.1,TLS 1.2,TLS 1.3,TLS_GREASE (0x0a0a),TLS_GREASE (0x1a1a),TLS_GREASE (0x2a2a),TLS_GREASE (0x3a3a),TLS_GREASE (0x4a4a),TLS_GREASE (0x5a5a),TLS_GREASE (0x6a6a),TLS_GREASE (0x7a7a),TLS_GREASE (0x8a8a),TLS_GREASE (0x9a9a),TLS_GREASE (0xaaaa),TLS_GREASE (0xbaba),TLS_GREASE (0xcaca),TLS_GREASE (0xdada),TLS_GREASE (0xeaea),TLS_GREASE (0xfafa),os_encoded
0,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0,"771,4865-4867-4866-49195-49199-52393-52392-49196-49200-49162-49161-49171-49172-156-157-47-53,0-23-65281-10-11-16-5-34-51-43-13-45-28-41,29-23-24-25-256-257,0",fea33d3783ae74d495240377b44baa68,"1:65536,4:131072,5:16384|12517377|3:0:0:201,5:0:0:101,7:0:0:1,9:0:7:1,11:0:3:1,13:0:0:241|m,p,a,s",45.0,1460.0,64240.0,Linux,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36","771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,43-16-11-17513-51-23-5-0-35-65281-10-45-18-13-65037-27,29-23-24,0",8ad9325e12f531d2983b78860de7b0ec,"1:65536,2:0,4:6291456,6:262144|15663105|0|m,a,s,p",46.0,1366.0,59220.0,Linux,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,11-17513-45-43-5-65281-13-27-10-16-0-23-35-18-51-65037-41,29-23-24,0",d3adf83b0154a3dce2a78ec296fcbfa4,"1:65536,2:0,4:6291456,6:262144|15663105|0|m,a,s,p",58.0,1460.0,65535.0,Android,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
3,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/302.0.603406840 Mobile/15E148 Safari/604.1","771,4865-4866-4867-49196-49195-52393-49200-49199-52392-49162-49161-49172-49171-157-156-53-47-49160-49170-10,0-23-65281-10-11-16-5-13-18-51-45-43-27-21,29-23-24-25,0",b2bafdc69377086c3416be278fd21121,"2:0,4:2097152,3:100|10485760|0|m,s,p,a",48.0,1412.0,65535.0,iOS,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
4,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),"771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,65037-65281-10-5-17513-27-43-35-51-13-18-0-45-23-11-16-41,29-23-24,0",d3adf83b0154a3dce2a78ec296fcbfa4,"1:65536,2:0,4:6291456,6:262144|15663105|0|m,a,s,p",58.0,1460.0,65535.0,Android,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/92.0.4515.159 Safari/537.36","771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21-41,29-23-24,0",052336488e42ad64eb9768f5bc03004a,"1:65536,3:1000,4:6291456,6:262144|15663105|0|m,a,s,p",55.0,1420.0,65320.0,Linux,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
6,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1","771,4865-4866-4867-49196-49195-52393-49200-49199-52392-49162-49161-49172-49171-157-156-53-47-49160-49170-10,0-23-65281-10-11-16-5-13-18-51-45-43-27-21,29-23-24-25,0",b2bafdc69377086c3416be278fd21121,"2:0,4:2097152,3:100|10485760|0|m,s,p,a",53.0,1460.0,65535.0,iOS,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1","771,4865-4866-4867-49196-49195-52393-49200-49199-52392-49162-49161-49172-49171-157-156-53-47-49160-49170-10,0-23-65281-10-11-16-5-13-18-51-45-43-27-21,29-23-24-25,0",b2bafdc69377086c3416be278fd21121,"2:0,4:2097152,3:100|10485760|0|m,s,p,a",53.0,1460.0,65535.0,iOS,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36","771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,29-23-24,0",22a4f858cc83b9144c829ca411948a88,"1:65536,2:0,3:1000,4:6291456,6:262144|15663105|0|m,a,s,p",45.0,1460.0,64240.0,Linux,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
9,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36","771,4865-4866-4867-49195-49199-49196-49200-52393-52392-49171-49172-156-157-47-53,0-23-65281-10-11-35-16-5-13-18-51-45-43-27-17513-21,29-23-24,0",22a4f858cc83b9144c829ca411948a88,"1:65536,2:0,3:1000,4:6291456,6:262144|15663105|0|m,a,s,p",45.0,1460.0,64240.0,Linux,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
